"cable_style","nc","cc","xa","ne","xae","od","br","wght","ct","core_con","mt"
BH,10,c,"2.5",0,0.00,21.200,106.00,526,p,,1301
BH,12,c,"1.5",0,0.00,20.000,100.00,454,p,,1301
BH,12,c,"14",0,0.00,0.915,4.58,501,p,,1302
BH,12,c,"16",0,0.00,0.805,4.03,370,p,,1302
BH,12,c,"2.5",0,0.00,22.100,111.00,598,p,,1301
BH,14,c,"1.5",0,0.00,20.900,105.00,507,p,,1301
BH,14,c,"2.5",0,0.00,23.400,117.00,681,p,,1301
BH,16,c,"1.5",0,0.00,22.000,110.00,562,p,,1301
BH,16,c,"2.5",0,0.00,24.600,123.00,759,p,,1301
BH,19,c,"1.5",0,0.00,23.400,117.00,648,p,,1301
BH,19,c,"14",0,0.00,1.055,5.28,670,p,,1302
BH,19,c,"16",0,0.00,0.975,4.88,532,p,,1302
BH,19,c,"2.5",0,0.00,26.000,130.00,878,p,,1301
BH,24,c,"1.5",0,0.00,27.000,135.00,807,p,,1301
BH,24,c,"14",0,0.00,1.215,6.08,895,p,,1302
BH,24,c,"16",0,0.00,1.120,5.60,708,p,,1302
BH,24,c,"2.5",0,0.00,30.200,151.00,1097,p,,1301
BH,27,c,"1.5",0,0.00,27.700,139.00,879,p,,1301
BH,27,c,"14",0,0.00,1.240,6.20,920,p,,1302
BH,27,c,"16",0,0.00,1.140,5.70,723,p,,1302
BH,27,c,"2.5",0,0.00,31.300,157.00,1213,p,,1301
BH,33,c,"1.5",0,0.00,30.000,150.00,1043,p,,1301
BH,33,c,"14",0,0.00,1.330,6.65,1066,p,,1302
BH,33,c,"16",0,0.00,1.225,6.13,831,p,,1302
BH,33,c,"2.5",0,0.00,33.800,169.00,1444,p,,1301
BH,37,c,"1.5",0,0.00,31.300,157.00,1156,p,,1301
BH,37,c,"14",0,0.00,1.380,6.90,1146,p,,1302
BH,37,c,"16",0,0.00,1.265,6.33,889,p,,1302
BH,37,c,"2.5",0,0.00,35.000,175.00,1586,p,,1301
BV,1,c,"1",0,0.00,0.585,1.76,354,p,,1302
BV,1,c,"1/0",0,0.00,0.625,1.88,430,p,,1302
BV,1,c,"10",0,0.00,7.600,22.80,120,p,,1301
BV,1,c,"10",0,0.00,0.280,0.84,60,p,,1302
BV,1,c,"1111",0,0.00,1.630,4.89,3883,p,,1302
BV,1,c,"120",0,0.00,20.400,61.20,1216,p,,1301
BV,1,c,"150",0,0.00,22.900,68.60,1541,p,,1301
BV,1,c,"16",0,0.00,8.800,26.50,178,p,,1301
BV,1,c,"185",0,0.00,25.200,75.70,1869,p,,1301
BV,1,c,"2",0,0.00,0.495,1.49,269,p,,1302
BV,1,c,"2/0",0,0.00,0.675,2.03,526,p,,1302
BV,1,c,"240",0,0.00,28.000,83.90,2389,p,,1301
BV,1,c,"25",0,0.00,10.500,31.50,267,p,,1301
BV,1,c,"262",0,0.00,0.935,2.81,1019,p,,1302
BV,1,c,"3/0",0,0.00,0.725,2.18,644,p,,1302
BV,1,c,"300",0,0.00,30.400,91.30,2995,p,,1301
BV,1,c,"313",0,0.00,0.970,2.91,1196,p,,1302
BV,1,c,"35",0,0.00,11.900,35.70,362,p,,1301
BV,1,c,"373",0,0.00,1.025,3.08,1393,p,,1302
BV,1,c,"4",0,0.00,0.435,1.31,184,p,,1302
BV,1,c,"4/0",0,0.00,0.800,2.40,784,p,,1302
BV,1,c,"400",0,0.00,34.800,104.50,3858,p,,1301
BV,1,c,"444",0,0.00,1.105,3.32,1601,p,,1302
BV,1,c,"50",0,0.00,13.500,40.60,499,p,,1301
BV,1,c,"500",0,0.00,38.700,116.10,4855,p,,1301
BV,1,c,"535",0,0.00,1.205,3.62,1951,p,,1302
BV,1,c,"6",0,0.00,6.600,19.90,79,p,,1301
BV,1,c,"6",0,0.00,0.385,1.16,129,p,,1302
BV,1,c,"630",0,0.00,43.200,129.60,6098,p,,1301
BV,1,c,"646",0,0.00,1.280,3.84,2288,p,,1302
BV,1,c,"70",0,0.00,15.800,47.40,719,p,,1301
BV,1,c,"777",0,0.00,1.380,4.14,2762,p,,1302
BV,1,c,"8",0,0.00,0.345,1.04,91,p,,1302
BV,1,c,"95",0,0.00,17.800,53.30,894,p,,1301
BV,2,c,"1.5",0,0.00,8.100,24.00,82,p,,1301
BV,2,c,"10",0,0.00,13.600,41.00,313,p,,1301
BV,2,c,"10",0,0.00,0.465,1.40,149,p,,1302
BV,2,c,"12",0,0.00,0.415,1.25,109,p,,1302
BV,2,c,"14",0,0.00,0.380,1.14,84,p,,1302
BV,2,c,"16",0,0.00,15.700,47.00,454,p,,1301
BV,2,c,"16",0,0.00,0.350,1.05,66,p,,1302
BV,2,c,"2",0,0.00,0.975,2.93,759,p,,1302
BV,2,c,"2.5",0,0.00,9.200,28.00,114,p,,1301
BV,2,c,"25",0,0.00,19.200,58.00,693,p,,1301
BV,2,c,"35",0,0.00,21.600,65.00,927,p,,1301
BV,2,c,"4",0,0.00,10.200,31.00,153,p,,1301
BV,2,c,"4",0,0.00,0.810,2.43,499,p,,1302
BV,2,c,"6",0,0.00,11.500,35.00,208,p,,1301
BV,2,c,"6",0,0.00,0.710,2.13,356,p,,1302
BV,2,c,"8",0,0.00,0.630,1.89,256,p,,1302
BV,3,c,"1",0,0.00,1.155,3.47,1218,p,,1302
BV,3,c,"1.5",0,0.00,8.700,26.00,100,p,,1301
BV,3,c,"1/0",0,0.00,1.240,3.72,1479,p,,1302
BV,3,c,"10",0,0.00,14.600,44.00,402,p,,1301
BV,3,c,"10",0,0.00,0.495,1.49,185,p,,1302
BV,3,c,"12",0,0.00,0.440,1.32,133,p,,1302
BV,3,c,"120",0,0.00,39.800,119.00,3871,p,,1301
BV,3,c,"14",0,0.00,0.400,1.20,101,p,,1302
BV,3,c,"150",0,0.00,43.400,130.00,4765,p,,1301
BV,3,c,"16",0,0.00,16.600,50.00,582,p,,1301
BV,3,c,"16",0,0.00,0.370,1.11,77,p,,1302
BV,3,c,"185",0,0.00,48.600,146.00,5647,p,,1301
BV,3,c,"2",0,0.00,1.030,3.09,973,p,,1302
BV,3,c,"2.5",0,0.00,9.700,29.00,137,p,,1301
BV,3,c,"2/0",0,0.00,1.345,4.04,1808,p,,1302
BV,3,c,"240",0,0.00,53.800,161.00,7344,p,,1301
BV,3,c,"25",0,0.00,20.600,62.00,904,p,,1301
BV,3,c,"262",0,0.00,1.880,5.64,3521,p,,1302
