"desc_code","desc_name"
FD1,X-90/HFS-110-TP 450/750V 90C AS/NZS5000.2 LSZH
XL1,X-90/V90-HT 0.6/1KV 90C AS/NZS5000.1
LS1,X-90 0.6/1KV 90C AS/NZS5000.1 LSZH
TD630,X-90/HFS-110-TP 0.6/1KV 90C AS/NZS5000.1 LSZH
LV,Flexible Welding/Battery Cable V-90 0.6/1kV AS/NZS1995
X07,Cable Guard Straight
X08,Cable Guard Corner
J30,Straight Plug
J31,Ceeform Socket
J32,Ceeform Inlet
J33,Ceeform Outlet
T02,Steel DIN Rail
J40,MC4 Type Connector
EX,Flexible LSZH X-HF-110 0.6/1KV 110C AS/NZS 5000.1
B20,BI-METALLIC CIRCUIT BREAKER LUG
Z14,Solar Spanner
X17,Solar Clip
D12,Solar Glands
J11,Surface Switch
Z12,Shear Bolt Clamp
Z15,Digital Caliper 150mm/6inch
F20,Split Loom Tube PP
F07,"Corrugated Conduit, Medium Duty"
F08,Conduit Junction Box
F09,Conduit Coupling
F10,Conduit Half Saddle
F11,Conduit Saddle - Full
F12,Inspection TEE
F13,Conduit U Clip
F14,Corrugated Conduit Gland
W04,Cable Tie S/S 316 Polyester Coated
T03,Aluminium DIN Rail
A21,"Double Grip Blade, TPE Insulated Terminal"
A29,"Double Grip Pin, TPE Insulated Terminal"
F21,Split Loom Tube Nylon
F22,Corrugated Conduit - Heavy Duty
G04,Heat Shrink Dual Wall 3:1
W03,"Cable Tie, Metal Pawl"
D21,Standard Nylon Gland
LM,EPR/HFFR 0.6/1kV AS/NZS5000.1
J34,CEEFORM Switched Outlet
J35,REEFER CEE EXTENSION SOCKET
Z24,"12 TONNE HYDRAULIC MANUAL CRIMPER & DIES"
Z29,"12 TONNE ALUMINIUM CRIMPING DIE SET"
G06,"Rainbow Pack 125°C Single Wall Heat Shrink 2:1, 5pcsx1.2m"
B21,BI-METALLIC REDUCING LINK
D13,Gland Reducer Brass Nickel Plated
D14,Gland Enlarger Brass Nickel Plated
D4,Class2 XLPE/PVC 6.35/11kV Heavy Screened AS/NZS1429.1
TG,"0.6/1KV 90C IEEE-1580 TLSXTPO"
TS,"0.6/1KV 90C IEEE-1580 TLSXTPO"
TL3EZ,EZ For Leads
D6,Class2 XLPE/PVC 12.7/22kV Heavy Screened AS/NZS1429.1
C00,Tricab Water Bottle
B22,BI-METALLIC STALK LUG
B24,ALUMINIUM CRIMPING LINK
B23,ALUMINIUM 2 HOLES LUG
Z28,Stainless Steel Cable Tie Gun
Z33,"60 TONNE ALUMINIUM CRIMPING DIE SET"
SK,X-HF-110/S-20 1.5/1.5kV dc DO NOT DISCONNECT UNDER LOAD
