"desc_code","desc_name"
F25,Corrugated Conduit - Heavy Duty Solar
J90,TECHNO Junction Box Assemblies
J91,TECHNO Plug Connector
J92,TECHNO Socket Connector
J93,TECHNO Plug Rapid-Connector
J94,TECHNO Socket Rapid-Connector
A20,Insulated Bootalce Ferrule Kit
Z31,"18V, 3.2ah Battery"
A52,Earth/Neutral Bar Mounting Feet
D20,Hole Plugs - Solar Glands
A39,Lever Splice Connectors
A40,"In-Line Bootlace/Ferrule Reel (50pcs), Insulated"
PS1A,Plug-Socket Lead J01/J03 - 10A
PS1B,Plug-Socket Lead J01/J03 - 20A
PS1D,Plug-Socket Lead J01/J03 - 50A
PDLB,"PWRSURE Lead-800A, J56 Drain B05"
X10,Single Cable Cleats
J65,PowerSure Lug to Lug Connector
J66,PowerSure SEQ Panel Source
Y02,Hazard Tapes
Y03,Clear Tapes
B13,Two Hole Copper Lug
H01,Slotted Cable Duct
J19,Appliance Inlet
J82,IP68 Connectors
B27,LONG PALM BI-METALLIC LUGS
G10,Heat Shrink Breakouts
J18,PUSH BUTTON CONTROL STATION
J16,WEATHERPROOF SWITCH
J17,WEATHERPROOF ISOLATOR SWITCH
DH,Flexible Rubber DALI Cable X-90/PVC 90C 0.6/1kV AS/NZS5000.1
DK,Fire DALI X-HF-110/HFS-110-TP 125oC 0.6/1kV AS/NZS3013
DI,Flexible DALI X-HF-110/PVC 110oC 0.6/1kV AS/NZS5000.1
DT,Flexible DALI X-HF-110/HFS-110-TP 125oC 0.6/1kV AS/NZS5000.1
DE,Flexible DALI X-HF-110/HFS-110-TP 125oC 0.6/1kV AS/NZS5000.1
DR,Fire DALI X-HF-110/HFS-110-TP 125oC 0.6/1kV AS/NZS3013
D23,"Fire Rated, Heavy Duty Stainless Steel Glands"
G11,Braided Sleeve
F26,Spiral Wrap
J83,IEC Connectors
A42,Lip Blade Terminals
F27,Rubber Lined Steel P Clip
T04,"StandOff/BusBar, Insulator UL Tested"
H02,Single Compartment Trunking
X11,Nylon Bushings
